Name,ActiveCases,Recovered,Death,Total cases,Date
Telangana,11933,17279,324,29536,7/9/2020
Tripura,436,1324,1,1761,7/9/2020
Uttar Pradesh,9980,20331,845,31156,7/9/2020
Uttarakhand,562,2650,46,3258,7/9/2020
West Bengal,7705,16291,827,24823,7/9/2020
Andaman and Nicobar Islands,68,83,0,151,7/10/2020
Andhra Pradesh,11383,12154,277,23814,7/10/2020
Arunachal Pradesh,180,120,2,302,7/10/2020
Assam,5281,8729,22,14032,7/10/2020
Bihar,4013,9816,115,13944,7/10/2020
Chandigarh,113,403,7,523,7/10/2020
Chhattisgarh,757,2903,15,3675,7/10/2020
Dadra and Nagar Haveli and Daman and Diu,222,189,0,411,7/10/2020
Delhi,21567,82226,3258,107051,7/10/2020
Goa,869,1273,9,2151,7/10/2020
Gujarat,9468,27718,2008,39194,7/10/2020
Haryana,4572,14510,287,19369,7/10/2020
Himachal Pradesh,283,846,11,1140,7/10/2020
Jammu and Kashmir,3652,5695,154,9501,7/10/2020
Jharkhand,1015,2208,23,3246,7/10/2020
Karnataka,17786,12833,486,31105,7/10/2020
Kerala,2799,3708,27,6534,7/10/2020
Ladakh,139,915,1,1055,7/10/2020
Madhya Pradesh,3475,12232,634,16341,7/10/2020
Maharashtra,93673,127259,9667,230599,7/10/2020
Manipur,651,799,0,1450,7/10/2020
Meghalaya,45,66,2,113,7/10/2020
Mizoram,64,133,0,197,7/10/2020
Nagaland,369,304,0,673,7/10/2020
Odisha,3742,7407,52,11201,7/10/2020
Puducherry,553,584,14,1151,7/10/2020
Punjab,2012,4945,183,7140,7/10/2020
Rajasthan,5002,17070,491,22563,7/10/2020
Sikkim,62,72,0,134,7/10/2020
Tamil Nadu,46655,78161,1765,126581,7/10/2020
Telangana,12423,18192,331,30946,7/10/2020
Tripura,437,1338,1,1776,7/10/2020
Uttar Pradesh,10373,21127,862,32362,7/10/2020
Uttarakhand,587,2672,46,3305,7/10/2020
West Bengal,8231,16826,854,25911,7/10/2020
Andaman and Nicobar Islands,64,92,0,156,7/11/2020
Andhra Pradesh,11936,13194,292,25422,7/11/2020
Arunachal Pradesh,213,120,2,335,7/11/2020
Assam,5426,9147,27,14600,7/11/2020
Bihar,4347,10109,119,14575,7/11/2020
Chandigarh,124,408,7,539,7/11/2020
Chhattisgarh,722,3028,17,3767,7/11/2020
Dadra and Nagar Haveli and Daman and Diu,248,211,0,459,7/11/2020
